iter	RMSE
0	0.3931891639
1	0.3871066965
2	0.3812804902
3	0.3765213652
4	0.3710105721
5	0.3657192464
6	0.3603803351
7	0.3553223702
8	0.3501836051
9	0.3453159563
10	0.3409007988
11	0.3362088505
12	0.3310015704
13	0.326268696
14	0.3220946034
15	0.3177742104
16	0.3138047463
17	0.3095179466
18	0.305244086
19	0.3010285382
20	0.2973724338
21	0.2934323882
22	0.28956709
23	0.2861269718
24	0.2819703603
25	0.2783233747
26	0.2750905491
27	0.2722259403
28	0.2690132969
29	0.2658240284
30	0.2627283634
31	0.2595385504
32	0.2564732263
33	0.253513138
34	0.250886422
35	0.247923155
36	0.2452869075
37	0.2426161836
38	0.2401334237
39	0.2377037756
40	0.2356317297
41	0.2331116709
42	0.2309070603
43	0.2284759817
44	0.2265507413
45	0.2247847747
46	0.2230222995
47	0.2210865447
48	0.2189298772
49	0.2168009765
50	0.2147148299
51	0.2126689944
52	0.2107647283
53	0.2089067707
54	0.2069933534
55	0.2054754325
56	0.2038011935
57	0.2021725235
58	0.2007743694
59	0.1988262593
60	0.1973537296
61	0.1959473368
62	0.1942834524
63	0.1928435627
64	0.1912663322
65	0.1896616326
66	0.1882551861
67	0.1869548973
68	0.1857455804
69	0.184343418
70	0.1831118089
71	0.1817030919
72	0.1800982608
73	0.1790026066
74	0.1777574887
75	0.1764487311
76	0.1751975716
77	0.1739030046
78	0.172923709
79	0.1716717111
80	0.1704401489
81	0.1694061996
82	0.1684427565
83	0.1676375991
84	0.1666194683
85	0.1657578164
86	0.1647493932
87	0.1638217238
88	0.1627336404
89	0.161748809
90	0.1608540875
91	0.1599740979
92	0.1592420129
93	0.1586021127
94	0.1580012733
95	0.1571619521
96	0.1563691011
97	0.155577275
98	0.1549070657
99	0.1540951993
100	0.1533040817
101	0.1526280361
102	0.1519277744
103	0.1511565071
104	0.1505693708
105	0.1498386582
106	0.1492150208
107	0.1485576187
108	0.1479160107
109	0.1473367921
110	0.1469725307
111	0.1464851456
112	0.1460327673
113	0.1454163655
114	0.1446991511
115	0.1445087966
116	0.1441146551
117	0.1434571039
118	0.1429138247
119	0.1423581662
120	0.1417021346
121	0.1411453408
122	0.1405090072
123	0.1400337354
124	0.1395482292
125	0.1390823311
126	0.1385733448
127	0.1380803736
128	0.1377754463
129	0.1372983873
130	0.1369668478
131	0.136591132
132	0.1360913967
133	0.135599674
134	0.1351791458
135	0.1347953055
136	0.1343922471
137	0.1340313272
138	0.1336102196
139	0.1332731666
140	0.132829131
141	0.1324491081
142	0.1320005569
143	0.1315965995
144	0.1311858462
145	0.1308713567
146	0.1304682569
147	0.1302572287
148	0.1299017018
149	0.1294810433
150	0.1290964024
151	0.1287447704
152	0.1284692761
153	0.1281223599
154	0.1277916632
155	0.1274131367
156	0.1271380445
157	0.1267557108
158	0.1264700785
159	0.1261758492
160	0.1259386107
161	0.1255536112
162	0.1252231686
163	0.1249933742
164	0.1246487666
165	0.1244169391
166	0.124191105
167	0.1239139526
168	0.123596728
169	0.1233512251
170	0.123001011
171	0.122760805
172	0.1225903704
173	0.1224594437
174	0.1222284486
175	0.1220713886
176	0.1218700543
177	0.1216632858
178	0.1215011351
179	0.1212987488
180	0.121091303
181	0.1209321464
182	0.1207003176
183	0.1203994461
184	0.1202037766
185	0.1200643662
186	0.1198597112
187	0.1196639787
188	0.1194419799
189	0.1191734644
190	0.1190194219
191	0.1188633545
192	0.1186073003
193	0.1184044562
194	0.1182518801
195	0.118141686
196	0.1178808994
197	0.1176663484
198	0.1174490962
199	0.1172730658
200	0.1170631208
201	0.1168586308
202	0.1167085649
203	0.1165164468
204	0.1163261701
205	0.1160786643
206	0.1158326531
207	0.1156882465
208	0.1154458735
209	0.1152424431
210	0.1151454165
211	0.1149552129
212	0.1148122296
213	0.1146315022
214	0.1144387784
215	0.1143152935
216	0.1141779111
217	0.1140102882
218	0.1137884637
219	0.1136721396
220	0.1134873423
221	0.1132723042
222	0.1131481594
223	0.1129873781
224	0.1128363769
225	0.1126242709
226	0.1124171029
227	0.1122408255
228	0.1121210267
229	0.1119723066
230	0.1118468456
231	0.1117292554
232	0.1115552751
233	0.1113886948
234	0.1112004898
235	0.1109348292
236	0.1108544036
237	0.1107377886
238	0.1105060594
239	0.1104157858
240	0.1102952268
241	0.1101261641
242	0.110031869
243	0.1098043433
244	0.1096365072
245	0.1094987013
246	0.1093679966
247	0.1092444113
248	0.1090617143
249	0.1089204247
250	0.1087677196
251	0.1086553333
252	0.108438395
253	0.1083200588
254	0.1081972428
255	0.1080054246
256	0.1078364036
257	0.1077045189
258	0.1075998104
259	0.1074235079
260	0.1073032042
261	0.1071362611
262	0.1070261922
263	0.1068776763
264	0.1067604356
265	0.1065841233
266	0.1064865183
267	0.1064129564
268	0.1063610458
269	0.1062282643
270	0.1060642287
271	0.1059413547
272	0.1058267287
273	0.1056753557
274	0.1056180848
275	0.1054508991
276	0.1053191217
277	0.1052143528
278	0.1050667171
279	0.1049341174
280	0.1048401216
281	0.1047435809
282	0.1046574084
283	0.1045713543
284	0.1044529481
285	0.104341572
286	0.1042051691
287	0.1040932557
288	0.1040036536
289	0.1038284278
290	0.1036763537
291	0.1035355801
292	0.1033994863
293	0.1032864861
294	0.1031450308
295	0.1030645036
296	0.1029058252
297	0.1028144442
298	0.1027184465
299	0.1026218828
300	0.1024497257
301	0.1023421839
302	0.1022165608
303	0.1020965568
304	0.1019974647
305	0.1019102997
306	0.101815403
307	0.1017345375
308	0.101631151
309	0.1015017386
310	0.1014116845
311	0.1013272489
312	0.1012151258
313	0.1010352693
314	0.1009192561
315	0.1008894547
316	0.1008253124
317	0.100739833
318	0.1006068909
319	0.1005313432
320	0.1004427475
321	0.1002972259
322	0.1001840854
323	0.1000549564
324	0.09989810436
325	0.09981968552
326	0.09969612321
327	0.09959371383
328	0.09944812089
329	0.09937879908
330	0.09926193315
331	0.0991294066
332	0.0990390602
333	0.09892314923
334	0.09883830105
335	0.09871394548
336	0.09864763191
337	0.09851464859
338	0.09841865265
339	0.09831856743
340	0.09823637734
341	0.09808962792
342	0.09794415447
343	0.09787998873
344	0.097751652
345	0.09761655013
346	0.09749205202
347	0.09742024144
348	0.09734671098
349	0.09727122533
350	0.09716135187
351	0.0970751077
352	0.09698479118
353	0.09692903193
354	0.09682594645
355	0.09675522507
356	0.09663912173
357	0.09653426646
358	0.09639676878
359	0.09627082614
360	0.09618701804
361	0.09607372917
362	0.09598999129
363	0.09590872
364	0.09576929513
365	0.09570025205
366	0.09564363951
367	0.09555362175
368	0.09548145716
369	0.09537869923
370	0.09532886766
371	0.09520239937
372	0.09512637142
373	0.09502384438
374	0.09497152375
375	0.09488891189
376	0.09483197502
377	0.09478906795
378	0.09470155407
379	0.0946604115
380	0.09457367561
381	0.09445863586
382	0.09439819729
383	0.09429908634
384	0.09419230862
385	0.09410396545
386	0.09405603174
387	0.09392825821
388	0.09387039118
389	0.09377754283
390	0.09372453514
391	0.09366545195
392	0.09356551631
393	0.09349141489
394	0.09341124655
395	0.09332254452
396	0.09323768889
