iter	Passed	Remaining
0	5	14258
1	10	14747
2	16	15117
3	21	14802
4	27	15650
5	31	14875
6	34	13795
7	36	12785
8	38	12120
9	42	11996
10	45	11622
11	48	11282
12	50	10914
13	53	10646
14	55	10428
15	58	10274
16	61	10153
17	64	10054
18	67	9876
19	69	9706
20	72	9585
21	75	9568
22	77	9432
23	80	9294
24	82	9164
25	84	9030
26	101	10503
27	106	10618
28	119	11472
29	125	11630
30	134	12064
31	140	12174
32	146	12292
33	150	12314
34	156	12375
35	161	12414
36	165	12387
37	169	12388
38	175	12440
39	177	12302
40	193	13064
41	199	13159
42	205	13217
43	210	13244
44	215	13243
45	220	13246
46	224	13207
47	227	13114
48	231	13028
49	234	12937
50	237	12873
51	240	12779
52	243	12666
53	245	12556
54	248	12445
55	250	12345
56	253	12262
57	271	12868
58	276	12874
59	281	12886
60	287	12967
61	292	12978
62	298	13026
63	313	13444
64	318	13472
65	323	13446
66	343	14083
67	348	14067
68	354	14073
69	359	14073
70	363	14041
71	368	14036
72	374	14063
73	381	14104
74	387	14131
75	393	14178
76	400	14230
77	406	14238
78	410	14193
79	418	14298
80	422	14256
81	427	14235
82	433	14239
83	437	14207
84	442	14179
85	446	14150
86	450	14109
87	454	14060
88	457	13995
89	460	13922
90	463	13862
91	466	13792
92	469	13721
93	472	13649
94	474	13568
95	480	13579
96	482	13499
97	484	13426
98	487	13341
99	488	13254
100	490	13171
101	492	13093
102	495	13032
103	497	12953
104	499	12879
105	502	12811
106	503	12722
107	505	12647
108	507	12576
109	526	12935
110	532	12957
111	537	12962
112	547	13063
113	555	13141
114	562	13176
115	566	13172
116	571	13170
117	578	13212
118	585	13235
119	590	13248
120	595	13236
121	599	13212
122	603	13187
123	607	13166
124	611	13136
125	614	13101
126	618	13067
127	621	13031
128	625	12995
129	627	12938
130	629	12882
131	631	12820
132	633	12763
133	635	12705
134	638	12651
135	640	12606
136	643	12559
137	646	12513
138	648	12468
139	651	12421
140	653	12373
141	656	12338
142	659	12297
143	661	12255
144	663	12203
145	666	12157
146	668	12112
147	671	12075
148	673	12036
149	676	11993
150	678	11952
151	680	11908
152	683	11869
153	686	11839
154	689	11810
155	705	12010
156	708	11971
157	710	11931
158	713	11894
159	715	11861
160	718	11830
161	721	11794
162	723	11754
163	725	11715
164	728	11679
165	730	11639
166	732	11600
167	735	11573
168	738	11543
169	741	11513
170	743	11477
171	745	11440
172	747	11404
173	750	11375
174	753	11347
175	755	11313
176	757	11278
177	760	11247
178	762	11218
179	766	11196
180	784	11396
181	787	11379
182	791	11359
183	799	11413
184	817	11598
185	822	11612
186	827	11617
187	833	11629
188	838	11638
189	843	11634
190	849	11648
191	854	11652
192	859	11655
193	865	11670
194	870	11679
195	875	11678
196	879	11675
197	884	11676
198	890	11682
199	893	11668
200	898	11660
201	902	11650
202	905	11636
203	909	11622
204	913	11616
205	917	11603
206	921	11586
207	924	11566
208	927	11547
209	931	11533
210	934	11509
211	936	11485
212	951	11607
213	954	11578
214	956	11547
215	958	11520
216	962	11499
217	964	11472
218	966	11442
219	969	11414
220	971	11381
221	973	11348
222	975	11318
223	998	11529
224	1003	11531
225	1007	11527
226	1014	11545
227	1019	11544
228	1023	11543
229	1029	11552
230	1034	11553
231	1038	11541
232	1042	11539
233	1047	11533
234	1050	11517
235	1054	11501
236	1058	11495
237	1062	11485
238	1065	11468
239	1074	11509
240	1079	11509
241	1090	11571
242	1095	11573
243	1100	11573
244	1105	11580
245	1111	11585
246	1115	11575
247	1119	11570
248	1123	11564
249	1127	11551
250	1134	11574
251	1139	11575
252	1143	11565
253	1147	11549
254	1150	11536
255	1154	11523
